City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,luderitz,-26.6481,15.1594,17.410000000000025,71,5,8.0,NA,1701228623
219,college,64.8569,-147.8028,-4.009999999999991,82,75,4.63,US,1701228644
220,nuuk,64.1835,-51.7216,0.34000000000003183,47,100,2.57,GL,1701228480
221,sao gabriel da cachoeira,-0.1303,-67.0892,22.670000000000016,98,98,0.36,BR,1701228644
222,berezovyy,51.6667,135.7,-13.799999999999955,60,76,1.26,RU,1701228644
223,crane,31.3974,-102.3501,9.310000000000002,54,97,4.91,US,1701228645
224,taber,49.8167,-112.1518,3.0100000000000477,51,0,3.6,CA,1701228615
225,buurhakaba,2.8026,44.0781,24.430000000000007,74,18,5.48,SO,1701228655
226,sumbe,-11.2061,13.8437,24.200000000000045,89,99,2.39,AO,1701228655
227,gherla,47.0333,23.9167,2.6100000000000136,97,100,6.88,RO,1701228655
228,alpena,45.0617,-83.4327,-3.859999999999957,72,40,5.14,US,1701228655
229,panaba,21.2833,-88.2667,24.140000000000043,65,100,4.66,MX,1701228655
230,san jose de jachal,-30.2406,-68.7469,20.680000000000007,75,29,7.13,AR,1701228656
231,nogliki,51.8333,143.1667,-10.019999999999982,82,100,8.14,RU,1701228656
232,prince rupert,54.3161,-130.3201,6.830000000000041,93,0,2.57,CA,1701228656
233,carahue,-38.7,-73.1667,5.8799999999999955,96,1,0.73,CL,1701228666
234,arraial do cabo,-22.9661,-42.0278,23.27000000000004,97,100,6.0,BR,1701228258
235,monrovia,6.3005,-10.7969,23.870000000000005,90,100,2.14,LR,1701228676
236,palikir - national government center,6.9248,158.1611,24.470000000000027,94,100,2.06,FM,1701228678
237,fortuna,40.5982,-124.1573,11.07000000000005,84,100,0.45,US,1701228678
238,thunder bay,48.4001,-89.3168,-4.009999999999991,86,100,3.09,CA,1701228595
239,ust-nera,64.5667,143.2,-20.47999999999999,99,100,1.05,RU,1701228678
240,paracuru,-3.41,-39.0306,27.28000000000003,81,80,4.43,BR,1701228679
241,qaqortoq,60.7167,-46.0333,-5.069999999999993,61,100,4.4,GL,1701228689
242,kavalerovo,44.2661,135.0572,-10.25,57,100,5.81,RU,1701228689
243,muniz freire,-20.4642,-41.4131,20.720000000000027,94,100,1.61,BR,1701228683
244,mers el kebir,35.7279,-0.7081,17.480000000000018,82,40,5.14,DZ,1701228690
245,brookings,44.3114,-96.7984,1.7300000000000182,73,0,3.6,US,1701228690
246,tara,56.8944,74.371,-5.939999999999998,82,94,3.14,RU,1701228700
247,quelimane,-17.8786,36.8883,25.410000000000025,79,66,3.68,MZ,1701228700
248,taoudenni,22.6783,-3.9836,18.120000000000005,19,100,2.67,ML,1701228701
249,vila velha,-20.3297,-40.2925,25.53000000000003,87,0,4.02,BR,1701228699
250,pocito,-31.6833,-68.5833,21.640000000000043,72,46,7.69,AR,1701228711
251,wauseon,41.5492,-84.1416,-6.17999999999995,81,94,4.69,US,1701228711
252,anar darah,32.7587,61.654,16.05000000000001,29,5,1.4,AF,1701228711
253,colonia,50.9333,6.95,2.140000000000043,80,75,5.66,DE,1701228478
254,rio hato,8.3833,-80.1667,21.930000000000007,89,100,5.64,PA,1701228711
255,amursk,50.2261,136.8994,-13.899999999999977,82,100,4.19,RU,1701228711
256,kayangel,8.0823,134.7173,28.910000000000025,78,100,7.77,PW,1701228712
257,tsiombe,-25.3,45.4833,24.28000000000003,84,12,3.1,MG,1701228278
258,acajutla,13.5928,-89.8275,26.430000000000007,71,54,2.66,SV,1701228712
259,mili,6.0815,171.735,28.120000000000005,76,100,7.28,MH,1701228712
260,ta`u,-14.2336,-169.5144,27.55000000000001,80,100,7.75,AS,1701228717
261,north bend,43.4065,-124.2243,6.6200000000000045,87,0,3.6,US,1701228720
262,talara,-4.5772,-81.2719,20.870000000000005,84,50,7.81,PE,1701228720
263,hasaki,35.7333,140.8333,17.939999999999998,40,0,6.34,JP,1701228720
264,ivdel',60.6911,60.4206,-6.009999999999991,97,100,1.79,RU,1701228720
265,rensselaer,42.7168,-73.4829,-3.569999999999993,76,90,4.5,US,1701228721
266,selkirk,50.1436,-96.8845,-0.5199999999999818,81,85,1.34,CA,1701228721
267,delta del tigre,-34.7633,-56.3853,22.230000000000018,83,0,7.2,UY,1701228728
268,antofagasta,-23.65,-70.4,17.600000000000023,80,39,3.11,CL,1701228730
269,envira,-7.3,-70.2167,22.939999999999998,96,82,0.38,BR,1701228730
270,hamilton,39.1834,-84.5333,-5.67999999999995,76,0,2.06,US,1701228511
271,djambala,-2.5447,14.7533,18.650000000000034,97,97,0.86,CG,1701228741
272,amungan,15.3652,119.9582,31.08000000000004,59,37,0.76,PH,1701228751
273,sao desiderio,-12.3633,-44.9733,22.680000000000007,38,14,1.67,BR,1701228737
274,kot mumin,32.1895,73.028,21.460000000000036,25,51,1.12,PK,1701228771
275,gadzhiyevo,69.2551,33.3362,-2.42999999999995,85,97,7.38,RU,1701228782
276,baidoa,3.1138,43.6498,22.850000000000023,75,20,4.83,SO,1701228782
277,beidao,34.5686,105.8933,7.600000000000023,33,100,2.84,CN,1701228792
278,dudinka,69.4058,86.1778,-27.299999999999983,100,30,0.9,RU,1701228792
279,govindgarh,27.5,76.9833,19.510000000000048,59,100,1.47,IN,1701228792
280,vilyuchinsk,52.9306,158.4028,-8.849999999999966,70,100,0.68,RU,1701228793
281,petropavlovsk-kamchatsky,53.0452,158.6483,-9.669999999999959,62,75,3.0,RU,1701228297
282,sena madureira,-9.0656,-68.6569,23.33000000000004,94,98,1.31,BR,1701228793
283,n'zeto,-7.2312,12.8666,24.710000000000036,87,100,1.55,AO,1701228793
284,novaya igirma,57.1334,103.9112,-17.379999999999967,86,38,1.49,RU,1701228793
285,tidjikja,18.5564,-11.4271,19.360000000000014,18,76,4.04,MR,1701228804
286,antsiranana,-12.2787,49.2917,27.340000000000032,70,22,4.55,MG,1701228804
287,shantobe,52.4581,68.1839,-1.5399999999999636,87,100,2.97,KZ,1701228804
288,island harbour,50.724,-1.2758,5.640000000000043,89,60,2.45,GB,1701228804
289,nassjo,57.6531,14.6968,-10.489999999999952,89,98,1.41,SE,1701228814
290,as sulayyil,20.4607,45.5779,20.140000000000043,42,1,3.43,SA,1701228814
